

         MODEL DEFAULTS
         --------------

Model Name:         SigCake2
Model Description:  
Output File:        UNTITLED.OUT
Output Plot Style:  NOAUTO_FIT
Run Mode:           HI_SPEED
Trace Vars:         QTYPE,Q[TYPE],OPTIME[3],OPTIME[2],INDEX,TYPE,SUPPLY[1;1
Random Number Seed: 12346
Initial Values:     8,4,4,4,120,360,30,30,30,30,.4,.4,.2,.1,.3,.3,.3,.1,.3,.3,.3,.1,.3,.3,.3
Ending Condition:   STOP_ON_TIME
Ending Time:        20000.000
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       QTYPE       Q[TYPE]     OPTIME[3]   OPTIME[2]   INDEX       TYPE        SUPPLY[1;1 
---------------------------------------------------------------------------------------------------------------
 0.000       RUN         1           0           0           0           0           0           0           0           
 0.000       INPUT_D     1           0           0           0           0           0           0           0           
 0.000       INPUT_D     2           0           0           0           0           0           0           0           
 0.000       INPUT_D     3           0           0           0           0           0           0           0           
 0.000       INPUT_D     4           0           0           0           0           0           0           0           
 0.000       INPUT_D     5           0           0           0           0           0           0           0           
 0.000       INPUT_D     6           0           0           0           0           0           0           0           
 0.000       INPUT_D     7           0           0           0           0           0           0           0           
 0.000       INPUT_D     8           0           0           0           0           0           0           0           
 0.000       INPUT_D     9           0           0           0           0           0           0           0           
 0.000       INPUT_D     10          0           0           0           0           0           0           0           
 0.000       INPUT_D     11          0           0           0           0           0           0           0           
 0.000       INPUT_D     12          0           0           0           0           0           0           0           
 0.000       INPUT_D     13          0           0           0           0           0           0           0           
 0.000       INPUT_D     14          0           0           0           0           0           0           0           
 0.000       INPUT_D     15          0           0           0           0           0           0           0           
 0.000       INPUT_D     16          0           0           0           0           0           0           0           
 0.000       INPUT_D     17          0           0           0           0           0           0           0           
 0.000       INPUT_D     18          0           0           0           0           0           0           0           
 0.000       INPUT_D     19          0           0           0           0           0           0           0           
 0.000       INPUT_D     20          0           0           0           0           0           0           0           
 0.000       WARMUP      1           0           0           1           480         0           0           64          
 120.000     ARRIVE      1           0           0           1           480         0           0           64          
 120.000     SUP         1           0           0           1           480         0           0           64          
 120.000     START_S     1           0           0           1           480         0           0           64          
 122.625     FINISH      1           0           0           1           480         0           1           64          
 122.625     CHECK_S     1           0           0           1           480         1           1           64          
 122.625     SUP         2           0           0           1           480         1           1           64          
 122.625     START_S     2           0           0           1           480         1           1           59          
 123.431     ARRIVE      2           0           0           1           480         1           1           59          
 123.431     SUP         3           0           0           1           480         0           1           59          
 123.431     START_S     3           0           0           1           480         0           1           59          
 124.505     FINISH      2           0           0           1           480         0           1           59          
 124.505     CHECK_S     2           0           0           1           480         1           1           59          
 124.505     SUP         4           0           0           1           480         1           1           59          
 124.505     START_S     4           0           0           1           480         1           1           59          
 124.680     FINISH      3           0           0           1           480         1           1           59          
 124.680     CHECK_S     3           0           0           1           480         2           1           59          
 124.680     CHECK_S     4           0           0           1           480         3           1           59          
 124.680     SUP         5           0           0           1           480         3           1           59          
 124.680     START_S     5           0           0           1           480         3           1           59          
 125.248     FINISH      4           0           0           1           480         1           2           59          
 125.248     CHECK_S     5           0           0           1           480         2           2           59          
 125.248     SUP         6           0           0           1           480         2           2           59          
 125.248     START_S     6           0           0           1           480         2           2           59          
 125.811     FINISH      5           0           0           1           480         2           3           59          
 125.811     CHECK_S     6           0           0           1           480         3           3           59          
 125.811     SUP         7           0           0           1           480         3           3           59          
 125.811     START_S     7           0           0           1           480         3           3           59          
 127.258     FINISH      6           0           0           1           480         3           3           59          
 127.258     CHECK_S     7           0           0           1           480         4           3           59          
 127.258     SUP         8           0           0           1           480         4           3           59          
 127.258     START_S     8           0           0           1           480         4           3           59          
 127.285     FINISH      7           0           0           1           480         3           3           59          
 127.285     CHECK_S     8           0           0           1           480         4           3           59          
 127.285     SUP         9           0           0           1           480         4           3           59          
 127.285     START_S     9           0           0           1           480         4           3           59          
 128.208     FINISH      8           0           0           1           480         4           3           59          
 128.208     LEAVE       1           0           0           1           480         4           3           59          
 131.515     FINISH      9           0           0           1           480         4           2           59          
 131.515     LEAVE       2           0           0           1           480         4           2           59          
 131.876     ARRIVE      3           0           0           1           480         4           2           59          
 131.876     SUP         10          0           0           1           480         0           2           59          
 131.876     START_S     10          0           0           1           480         0           2           59          
 133.443     FINISH      10          0           0           1           480         0           1           59          
 133.443     CHECK_S     9           0           0           1           480         1           1           59          
 133.443     SUP         11          0           0           1           480         1           1           59          
 133.443     START_S     11          0           0           1           480         1           1           59          
 136.463     ARRIVE      4           0           0           1           480         1           1           59          
 136.463     SUP         12          0           0           1           480         0           1           59          
 136.463     START_S     12          0           0           1           480         0           1           59          
 138.155     FINISH      11          0           0           1           480         1           3           59          
 138.155     CHECK_S     10          0           0           1           480         2           3           59          
 138.155     SUP         13          0           0           1           480         2           3           59          
 138.155     START_S     13          0           0           1           480         2           3           59          
 138.222     FINISH      12          0           0           1           480         0           1           59          
 138.222     CHECK_S     11          0           0           1           480         1           1           59          
 138.222     SUP         14          0           0           1           480         1           1           59          
 138.222     START_S     14          0           0           1           480         1           1           59          
 143.465     ARRIVE      5           0           0           1           480         1           1           59          
 143.465     SUP         15          0           0           1           480         0           1           59          
 143.465     START_S     15          0           0           1           480         0           1           59          
 144.658     FINISH      13          0           0           1           480         1           3           59          
 144.658     CHECK_S     12          0           0           1           480         2           3           59          
 144.658     SUP         16          0           0           1           480         2           3           59          
 144.658     START_S     16          0           0           1           480         2           3           59          
 144.823     FINISH      14          0           0           1           480         2           2           59          
